model,occur_during_sleep_precision,occur_during_sleep_recall,occur_during_sleep_f1,occur_during_sleep_accuracy,head_turning_precision,head_turning_recall,head_turning_f1,head_turning_accuracy,blank_stare_precision,blank_stare_recall,blank_stare_f1,blank_stare_accuracy,close_eyes_precision,close_eyes_recall,close_eyes_f1,close_eyes_accuracy,eye_blinking_precision,eye_blinking_recall,eye_blinking_f1,eye_blinking_accuracy,face_pulling_precision,face_pulling_recall,face_pulling_f1,face_pulling_accuracy,face_twitching_precision,face_twitching_recall,face_twitching_f1,face_twitching_accuracy,tonic_precision,tonic_recall,tonic_f1,tonic_accuracy,clonic_precision,clonic_recall,clonic_f1,clonic_accuracy,arm_straightening_precision,arm_straightening_recall,arm_straightening_f1,arm_straightening_accuracy,arm_flexion_precision,arm_flexion_recall,arm_flexion_f1,arm_flexion_accuracy,figure4_precision,figure4_recall,figure4_f1,figure4_accuracy,oral_automatisms_precision,oral_automatisms_recall,oral_automatisms_f1,oral_automatisms_accuracy,limb_automatisms_precision,limb_automatisms_recall,limb_automatisms_f1,limb_automatisms_accuracy,asynchronous_movement_precision,asynchronous_movement_recall,asynchronous_movement_f1,asynchronous_movement_accuracy,pelvic_thrusting_precision,pelvic_thrusting_recall,pelvic_thrusting_f1,pelvic_thrusting_accuracy,full_body_shaking_precision,full_body_shaking_recall,full_body_shaking_f1,full_body_shaking_accuracy,arms_move_simultaneously_precision,arms_move_simultaneously_recall,arms_move_simultaneously_f1,arms_move_simultaneously_accuracy,verbal_responsiveness_precision,verbal_responsiveness_recall,verbal_responsiveness_f1,verbal_responsiveness_accuracy,ictal_vocalization_precision,ictal_vocalization_recall,ictal_vocalization_f1,ictal_vocalization_accuracy
Qwen2.5-VL-7B,0.40,0.90,0.55,0.57,0.34,0.98,0.51,0.46,0.18,1.00,0.30,0.21,0.29,1.00,0.45,0.31,0.18,0.90,0.29,0.39,0.19,0.71,0.30,0.45,0.13,0.98,0.24,0.22,0.31,0.07,0.12,0.63,0.39,0.39,0.39,0.69,0.35,0.98,0.52,0.46,0.46,0.99,0.63,0.51,0.32,0.23,0.26,0.84,0.24,0.66,0.36,0.57,0.19,0.89,0.31,0.38,0.28,0.56,0.38,0.59,0.08,0.33,0.13,0.79,0.25,0.89,0.39,0.47,0.19,0.99,0.32,0.22,,,,,,,,
InternVL3.5-8B,0.41,0.83,0.55,0.60,0.80,0.07,0.12,0.73,0.17,1.00,0.29,0.18,0.29,1.00,0.44,0.29,0.00,0.00,0.00,0.86,0.30,0.09,0.13,0.82,0.12,1.00,0.22,0.12,0.51,0.48,0.50,0.67,0.45,0.17,0.25,0.74,0.43,0.76,0.55,0.63,0.48,0.98,0.65,0.55,0.34,0.23,0.27,0.85,0.19,0.87,0.32,0.33,0.17,0.88,0.29,0.33,0.33,0.02,0.04,0.78,0.05,0.10,0.07,0.88,0.15,0.12,0.14,0.71,0.23,0.54,0.32,0.58,,,,,,,,
Qwen2.5-VL-32B,0.61,0.51,0.55,0.76,0.60,0.25,0.35,0.74,0.20,0.88,0.32,0.37,0.35,0.88,0.50,0.50,0.23,0.36,0.28,0.74,0.18,0.14,0.16,0.75,0.14,0.96,0.24,0.27,0.73,0.22,0.34,0.71,0.46,0.33,0.38,0.73,0.45,0.83,0.59,0.66,0.57,0.88,0.69,0.67,0.50,0.25,0.33,0.88,0.23,0.49,0.32,0.62,0.18,0.76,0.29,0.43,0.29,0.25,0.27,0.70,0.05,0.24,0.09,0.75,0.25,0.30,0.27,0.69,0.24,0.56,0.34,0.59,,,,,,,,
InternVL3.5-38B,0.51,0.88,0.65,0.72,0.00,0.00,0.00,0.72,0.18,0.99,0.30,0.23,0.28,1.00,0.44,0.28,0.08,0.05,0.06,0.79,0.19,0.60,0.29,0.52,0.12,1.00,0.22,0.12,0.61,0.47,0.53,0.72,0.38,0.38,0.38,0.69,0.41,0.71,0.52,0.62,0.60,0.90,0.72,0.71,0.27,0.57,0.36,0.75,0.23,0.45,0.31,0.63,0.19,0.91,0.31,0.38,0.26,0.39,0.31,0.62,0.06,0.38,0.10,0.67,0.20,0.48,0.28,0.53,0.19,0.99,0.31,0.20,,,,,,,,
Qwen2.5-VL-72B,0.53,0.81,0.64,0.74,0.41,0.85,0.55,0.61,0.20,0.85,0.33,0.41,0.33,0.92,0.49,0.45,0.14,0.34,0.20,0.61,0.17,0.79,0.28,0.34,0.16,0.87,0.26,0.41,0.46,0.81,0.58,0.61,0.40,0.56,0.47,0.68,0.40,0.87,0.55,0.58,0.50,0.97,0.66,0.58,0.24,0.42,0.30,0.76,0.24,0.60,0.34,0.59,0.18,0.95,0.30,0.33,0.23,0.56,0.33,0.50,0.08,0.71,0.14,0.58,0.23,0.71,0.35,0.50,0.21,0.86,0.34,0.38,,,,,,,,
Audio-flamingo-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen2.5-Omni-7B,0.41,0.93,0.57,0.59,0.53,0.67,0.59,0.73,0.19,1.00,0.32,0.22,0.30,1.00,0.46,0.30,0.21,0.34,0.26,0.73,0.28,0.37,0.32,0.73,0.14,1.00,0.24,0.16,0.50,0.02,0.04,0.65,0.30,0.03,0.06,0.73,0.33,0.97,0.49,0.42,0.45,0.99,0.62,0.49,0.34,0.48,0.40,0.81,0.25,0.73,0.37,0.53,0.21,0.53,0.30,0.59,0.21,0.68,0.33,0.47,0.05,0.32,0.09,0.67,0.19,0.94,0.32,0.35,0.17,1.00,0.28,0.17,0.69,0.70,0.69,0.75,0.54,0.94,0.69,0.66
Lingshu-32B,0.54,0.75,0.63,0.74,0.41,0.72,0.52,0.63,0.18,0.97,0.31,0.26,0.31,0.98,0.47,0.36,0.15,0.49,0.23,0.53,0.18,0.60,0.28,0.49,0.13,0.98,0.23,0.21,0.58,0.38,0.46,0.69,0.52,0.28,0.37,0.75,0.39,0.89,0.54,0.56,0.52,0.96,0.67,0.61,0.21,0.72,0.33,0.64,0.23,0.58,0.33,0.57,0.20,0.77,0.32,0.50,0.24,0.25,0.24,0.66,0.06,0.38,0.11,0.70,0.26,0.55,0.35,0.62,0.19,0.94,0.32,0.25,,,,,,,,
Qwen3-VL-8B,0.55,0.67,0.61,0.73,1.00,0.03,0.06,0.75,0.18,0.77,0.29,0.38,0.36,0.83,0.50,0.51,0.00,0.00,0.00,0.86,0.00,0.00,0.00,0.84,0.13,1.00,0.23,0.18,0.55,0.52,0.53,0.72,0.43,0.15,0.23,0.74,0.50,0.73,0.59,0.70,0.58,0.79,0.67,0.69,0.75,0.06,0.11,0.88,0.54,0.10,0.17,0.83,0.17,0.58,0.27,0.55,0.27,0.11,0.15,0.72,0.15,0.25,0.19,0.89,0.25,0.35,0.29,0.69,0.23,0.44,0.30,0.59,,,,,,,,
Qwen3-VL-32B,0.60,0.74,0.66,0.78,0.54,0.46,0.50,0.74,0.19,0.86,0.31,0.36,0.35,0.82,0.49,0.51,0.29,0.08,0.13,0.84,0.20,0.26,0.22,0.71,0.13,0.98,0.22,0.18,0.55,0.52,0.53,0.70,0.56,0.41,0.48,0.77,0.40,0.87,0.54,0.58,0.56,0.85,0.68,0.66,0.50,0.36,0.42,0.88,0.24,0.53,0.33,0.62,0.19,0.88,0.31,0.40,0.26,0.43,0.33,0.61,0.07,0.24,0.11,0.82,0.27,0.65,0.38,0.61,0.21,0.82,0.34,0.41,,,,,,,,
