feature,n_pairs,bleu_corpus,rouge1_f1_mean,rougeL_f1_mean,berts_f1_mean
arm_flexion,431,3.07772624886975,0.30003978616501775,0.22552962903885487,0.643054723739624
arm_straightening,431,4.67972837302487,0.34877138433284716,0.26252489440621446,0.6648951172828674
arms_move_simultaneously,431,1.9904488027521687,0.34061506998848673,0.3138208220187429,0.6467517614364624
asynchronous_movement,431,2.2808223548616464,0.30306355306279653,0.22639284031007625,0.6459099054336548
blank_stare,431,5.197765505173373,0.2989956137262018,0.25282333419397457,0.643032968044281
clonic,431,4.0321899792017,0.3299385627103053,0.23558932666493745,0.6465846300125122
close_eyes,431,9.350624196897,0.3723740022951605,0.33325180170761365,0.6702749729156494
eye_blinking,431,7.767057735406947,0.4233893114993571,0.3417278336189659,0.7002854347229004
face_pulling,431,3.4147837585686123,0.30121985816550295,0.2501396950000687,0.64186692237854
face_twitching,431,2.4270694771917554,0.28014981304679765,0.22385196349829214,0.6504110097885132
figure4,431,6.031168595264542,0.4167051345131067,0.2898652836809668,0.6694898009300232
full_body_shaking,431,8.985017939828873,0.3498213147694744,0.27061646032090764,0.6649501323699951
head_turning,431,6.795044963454868,0.38075404506122346,0.28179002631622374,0.6745359301567078
limb_automatisms,431,3.386093668019019,0.3272782372552567,0.2749661830731734,0.6731895804405212
occur_during_sleep,431,2.999376243032537,0.2810620924453346,0.24707042276693425,0.6520611047744751
oral_automatisms,431,10.297025682197143,0.3701327686926416,0.31748591174564733,0.6800249814987183
pelvic_thrusting,431,5.5641430163466135,0.3220247351480004,0.26410118068892924,0.672305166721344
tonic,431,4.321449541838015,0.3324363842614792,0.22695540982914159,0.6408871412277222
AVG_18,431,5.14430756010719,0.3377095370632772,0.2688057232710925,0.6600284046596951
