feature,n_pairs,bleu_corpus,rouge1_f1_mean,rougeL_f1_mean,berts_f1_mean
arm_flexion,431,3.820893548263708,0.32192294655681963,0.2329193821143776,0.6413005590438843
arm_straightening,431,2.6918048841113316,0.29444123302985664,0.22452952448317576,0.615229070186615
arms_move_simultaneously,431,0.7999405877430773,0.2236898539182264,0.2014341031898833,0.5440605282783508
asynchronous_movement,431,1.7724272706830446,0.24461589630143843,0.17922133300892534,0.5686190128326416
blank_stare,429,1.725663917015601,0.2511134047681245,0.19787608213988472,0.6243239045143127
clonic,431,3.9332414294700224,0.35032860193141374,0.2375851117264521,0.6509424448013306
close_eyes,431,5.181403514172657,0.371015549026676,0.31732959040097547,0.6730513572692871
eye_blinking,429,2.799097231905624,0.33490836022803816,0.2606535942499881,0.6374585628509521
face_pulling,431,1.4772416058552122,0.2777860230844935,0.2272756194835008,0.6145472526550293
face_twitching,431,3.1541440744848495,0.3075382090126963,0.22613042839122421,0.6354623436927795
figure4,431,4.035735505738697,0.3612510909971835,0.26800529742592294,0.6453694701194763
full_body_shaking,431,9.262609923512173,0.36246184283131677,0.27866194563595487,0.6566192507743835
head_turning,431,4.1605770650201075,0.3416875655097519,0.24396076034011446,0.6456678509712219
limb_automatisms,431,3.4096282758939207,0.32264292023993535,0.2600363762922371,0.6520277261734009
occur_during_sleep,430,4.91937798606236,0.3145595653914987,0.25929029235015244,0.6480116844177246
oral_automatisms,429,9.627265486471828,0.3564097235836605,0.2984122698627838,0.6675581336021423
pelvic_thrusting,431,5.40005211544901,0.3492066345739626,0.2768348042972627,0.6615030169487
tonic,431,3.844746004255418,0.3289367916760396,0.22114739729827035,0.6462864875793457
AVG_18,431,4.000880579228258,0.31747312292561847,0.2450724395939492,0.6348910364839766
