model,precision_with_report,recall_with_report,f1_with_report,accuracy_with_report,precision_without_report,recall_without_report,f1_without_report,accuracy_without_report
InternVL3_5-8B,0.68,0.90,0.78,0.65,0.71,0.75,0.73,0.62
Qwen2.5-VL-7B-Instruct,0.73,0.72,0.72,0.63,0.72,0.47,0.57,0.51
Qwen3-VL-8B-Instruct,0.79,0.73,0.76,0.69,0.68,0.55,0.61,0.52
InternVL3_5-38B,0.69,0.94,0.79,0.67,0.72,0.43,0.54,0.50
Qwen2.5-VL-32B-Instruct,0.79,0.67,0.73,0.66,0.70,0.70,0.70,0.59
Qwen3-VL-32B-Instruct,0.87,0.68,0.77,0.72,0.72,0.51,0.60,0.53
Qwen2.5-VL-72B-Instruct,0.91,0.48,0.62,0.61,0.77,0.65,0.71,0.63
Qwen2.5-Omni-7B,0.71,0.75,0.73,0.62,0.68,0.94,0.79,0.66
Qwen3-Omni-30B-A3B-Instruct,0.74,0.76,0.75,0.66,0.71,0.68,0.69,0.59
Lingshu-32B,0.75,0.43,0.54,0.51,0.69,0.96,0.81,0.68
