model,occur_during_sleep_rouge,occur_during_sleep_bleu,occur_during_sleep_bertscore,head_turning_rouge,head_turning_bleu,head_turning_bertscore,blank_stare_rouge,blank_stare_bleu,blank_stare_bertscore,close_eyes_rouge,close_eyes_bleu,close_eyes_bertscore,eye_blinking_rouge,eye_blinking_bleu,eye_blinking_bertscore,face_pulling_rouge,face_pulling_bleu,face_pulling_bertscore,face_twitching_rouge,face_twitching_bleu,face_twitching_bertscore,tonic_rouge,tonic_bleu,tonic_bertscore,clonic_rouge,clonic_bleu,clonic_bertscore,arm_straightening_rouge,arm_straightening_bleu,arm_straightening_bertscore,arm_flexion_rouge,arm_flexion_bleu,arm_flexion_bertscore,figure4_rouge,figure4_bleu,figure4_bertscore,oral_automatisms_rouge,oral_automatisms_bleu,oral_automatisms_bertscore,limb_automatisms_rouge,limb_automatisms_bleu,limb_automatisms_bertscore,asynchronous_movement_rouge,asynchronous_movement_bleu,asynchronous_movement_bertscore,pelvic_thrusting_rouge,pelvic_thrusting_bleu,pelvic_thrusting_bertscore,full_body_shaking_rouge,full_body_shaking_bleu,full_body_shaking_bertscore,arms_move_simultaneously_rouge,arms_move_simultaneously_bleu,arms_move_simultaneously_bertscore,verbal_responsiveness_rouge,verbal_responsiveness_bleu,verbal_responsiveness_bertscore,ictal_vocalization_rouge,ictal_vocalization_bleu,ictal_vocalization_bertscore
Qwen2.5-VL-7B,0.27,3.87,0.65,0.39,4.84,0.67,0.29,3.91,0.62,0.34,3.95,0.65,0.36,5.1,0.66,0.29,2.16,0.62,0.29,1.55,0.63,0.3,3.64,0.63,0.33,3.85,0.66,0.33,3.51,0.64,0.3,3.49,0.63,0.41,6.07,0.65,0.34,7.67,0.66,0.32,2.19,0.66,0.28,1.94,0.63,0.32,4.37,0.66,0.33,8.46,0.65,0.3,2.44,0.61,,,,,,
InternVL3.5-8B,0.32,4.85,0.66,0.37,4.91,0.66,0.25,1.83,0.63,0.38,9.1,0.68,0.39,6.55,0.68,0.25,1.33,0.6,0.33,5.01,0.64,0.33,4.18,0.64,0.35,4.27,0.65,0.35,4.43,0.65,0.31,2.23,0.64,0.41,5.99,0.66,0.37,11.51,0.66,0.32,3.48,0.65,0.3,2.03,0.63,0.33,4.07,0.65,0.33,6.99,0.63,0.36,5.27,0.63,,,,,,
Qwen2.5-VL-32B,0.27,4.29,0.64,0.37,6.83,0.68,0.27,3.37,0.62,0.36,9.36,0.66,0.38,5.04,0.68,0.31,3.25,0.63,0.3,2.35,0.63,0.32,3.3,0.63,0.34,3.11,0.64,0.39,6.98,0.68,0.32,4.93,0.65,0.4,4.99,0.64,0.36,8.99,0.67,0.3,3.22,0.65,0.3,2.04,0.62,0.3,3.5,0.65,0.33,6.73,0.64,0.37,6.83,0.62,,,,,,
InternVL3.5-38B,0.31,4.92,0.65,0.34,4.16,0.65,0.25,1.73,0.62,0.37,5.18,0.67,0.33,2.8,0.64,0.28,1.48,0.61,0.31,3.15,0.64,0.33,3.84,0.65,0.35,3.93,0.65,0.29,2.69,0.62,0.32,3.82,0.64,0.36,4.04,0.65,0.36,9.63,0.67,0.32,3.41,0.65,0.24,1.77,0.57,0.35,5.4,0.66,0.36,9.26,0.66,0.22,0.8,0.54,,,,,,
Qwen2.5-VL-72B,0.28,3.63,0.65,0.38,5.86,0.68,0.3,3.97,0.65,0.38,10.13,0.66,0.42,9.6,0.69,0.31,2.76,0.62,0.3,3.36,0.65,0.35,5.12,0.67,0.36,5.25,0.67,0.35,5.7,0.67,0.31,5.02,0.64,0.4,5.54,0.66,0.37,9.2,0.68,0.29,2.5,0.66,0.3,2.6,0.62,0.34,5.76,0.67,0.36,10.77,0.67,0.33,4.72,0.64,,,,,,
Audio-flamingo-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.66,0.62,0.26,6.87,0.65
Qwen2.5-Omni-7B,0.29,3.0,0.66,0.35,3.46,0.67,0.29,3.99,0.64,0.39,10.65,0.69,0.45,11.86,0.71,0.32,1.92,0.65,0.31,1.86,0.66,0.29,4.36,0.65,0.32,2.45,0.65,0.33,3.03,0.65,0.3,3.35,0.64,0.39,4.74,0.66,0.38,12.54,0.68,0.36,5.84,0.68,0.29,0.72,0.64,0.33,4.84,0.67,0.38,11.33,0.68,0.38,4.46,0.64,0.24,1.44,0.63,0.3,6.73,0.66
Lingshu-32B,0.28,3.0,0.65,0.38,6.8,0.67,0.3,5.2,0.64,0.37,9.35,0.67,0.42,7.77,0.7,0.3,3.41,0.64,0.28,2.43,0.65,0.33,4.32,0.64,0.33,4.03,0.65,0.35,4.68,0.66,0.3,3.08,0.64,0.42,6.03,0.67,0.37,10.3,0.68,0.33,3.39,0.67,0.3,2.28,0.65,0.32,5.56,0.67,0.35,8.99,0.66,0.34,1.99,0.65,,,,,,
Qwen3-VL-8B,0.38,9.13,0.69,0.38,7.36,0.67,0.33,6.31,0.65,0.38,10.2,0.68,0.4,5.9,0.7,0.29,1.88,0.6,0.29,2.79,0.64,0.36,4.88,0.65,0.36,4.11,0.67,0.37,6.06,0.66,0.3,3.96,0.62,0.43,6.13,0.68,0.38,11.06,0.68,0.35,4.48,0.64,0.32,2.24,0.64,0.35,5.39,0.66,0.36,8.76,0.66,0.36,6.03,0.65,,,,,,
Qwen3-VL-32B,0.34,7.33,0.66,0.37,5.88,0.66,0.35,7.01,0.66,0.37,8.64,0.67,0.46,8.58,0.72,0.28,2.11,0.6,0.31,3.22,0.64,0.34,4.79,0.65,0.37,4.75,0.68,0.33,4.53,0.63,0.3,3.57,0.61,0.43,5.96,0.68,0.33,8.72,0.65,0.29,2.79,0.6,0.32,2.73,0.64,0.33,4.55,0.64,0.35,9.34,0.65,0.33,3.96,0.64,,,,,,
